['rov, roa, neither', 'ROA ROV Matching', 'Load Balance', 'Percent ROA Coverage']
(0.1, 0.1, 1) , 0.072 , 0.755640625966842 , 0.765
(0.1, 0.2, 1) , 0.055 , 0.7823099145350739 , 0.738
(0.1, 0.3, 1) , 0.036 , 0.8089792031033106 , 0.751
(0.1, 0.4, 1) , 0.034 , 0.8356484916715425 , 0.743
(0.1, 0.5, 1) , 0.033 , 0.8623177802397746 , 0.744
(0.2, 0.1, 1) , 0.079 , 0.7561223789578495 , 0.733
(0.2, 0.2, 1) , 0.036 , 0.7827916675260816 , 0.732
(0.2, 0.3, 1) , 0.038 , 0.809460956094318 , 0.751
(0.2, 0.4, 1) , 0.031 , 0.8361302446625499 , 0.746
(0.2, 0.5, 1) , 0.033 , 0.8627995332307821 , 0.743
(0.3, 0.1, 1) , 0.069 , 0.756604131948856 , 0.754
(0.3, 0.2, 1) , 0.042 , 0.783273420517088 , 0.736
(0.3, 0.3, 1) , 0.038 , 0.8099427090853246 , 0.753
(0.3, 0.4, 1) , 0.042 , 0.8366119976535565 , 0.739
(0.4, 0.1, 1) , 0.074 , 0.7570858849398635 , 0.747
(0.4, 0.2, 1) , 0.049 , 0.7837551735080956 , 0.739
(0.4, 0.4, 1) , 0.034 , 0.837093750644564 , 0.757
(0.4, 0.8, 1) , 0.034 , 0.9437709049174932 , 0.731
(0.5, 0.1, 1) , 0.073 , 0.757567637930871 , 0.761
(0.5, 0.2, 1) , 0.053 , 0.784236926499103 , 0.734
(0.5, 0.4, 1) , 0.033 , 0.8375755036355714 , 0.742
(0.5, 0.6, 1) , 0.037 , 0.8909140807720355 , 0.743
(0.6, 0.1, 1) , 0.071 , 0.7580493909218776 , 0.739
(0.6, 0.3, 1) , 0.039 , 0.8113879680583461 , 0.741
(0.7, 0.1, 1) , 0.066 , 0.758531143912885 , 0.737
(0.7, 0.3, 1) , 0.041 , 0.8118697210493536 , 0.734
(0.7, 0.4, 1) , 0.033 , 0.8385390096175855 , 0.737
(0.7, 0.7, 1) , 0.031 , 0.9185468753222827 , 0.749
(0.8, 0.1, 1) , 0.073 , 0.7590128969038926 , 0.742
(0.8, 0.2, 1) , 0.05 , 0.7856821854721247 , 0.761
(0.8, 0.5, 1) , 0.043 , 0.8656900511768252 , 0.738
(0.9, 0.1, 1) , 0.074 , 0.759494649894899 , 0.766
(0.9, 0.2, 1) , 0.051 , 0.7861639384631312 , 0.751
(0.9, 0.4, 1) , 0.035 , 0.8395025155995995 , 0.74
